Time,GCD,DOT,Longyin,Longya,Pofeng,Chuanyun,Zhanbafang,Mie,Liuxue,Poxue,Fenghu,Xunhuan
960,24,32,6.902,3.642,1,0.897,1.606,1.633,27.042,61.067,FALSE,A
960,24,32,2.082,13.282,0,4.295,4.661,0,0,0,TRUE,A
960,24,32,6.91,3.363,1,0,1.529,0,28.671,62.191,FALSE,B
960,24,32,1.927,12.827,0,4.215,5.089,0,0,0,TRUE,B
960,23,31,7.254,3.831,1,0.95,1.638,1.733,32.758,64.709,FALSE,A
960,23,31,2.218,13.979,0,4.484,4.913,0,0,0,TRUE,A
960,23,31,7.043,3.453,1,0,1.487,0,33.11,65.173,FALSE,B
960,23,31,1.978,13.177,0,4.269,5.298,0,0,0,TRUE,B
960,23,30,7.254,3.831,1,0.95,1.638,1.733,33.495,66.322,FALSE,A
960,23,30,2.218,13.979,0,4.484,4.913,0,0,0,TRUE,A
960,23,30,6.803,3.917,1,0,2.374,0,35.058,69.979,FALSE,B
960,23,30,1.877,12.326,0,4.816,4.703,0,0,0,TRUE,B
960,22,30,6.409,6.125,1,2.961,2.55,2.321,34.585,70.477,FALSE,A
960,22,30,1.856,11.52,0,5.46,3.798,0,0,0,TRUE,A
960,22,30,6.898,6.756,1,2.828,2.313,0,34.196,72.601,FALSE,B
960,22,30,1.878,11.875,0,5.672,4.741,0,0,0,TRUE,B
960,22,29,6.409,6.125,1,2.961,2.55,2.321,35.354,72.478,FALSE,A
960,22,29,1.856,11.52,0,5.46,3.798,0,0,0,TRUE,A
960,22,29,6.898,6.756,1,2.828,2.313,0,36.08,72.799,FALSE,B
960,22,29,1.878,11.875,0,5.672,4.741,0,0,0,TRUE,B
960,21,29,6.721,6.437,1,3.131,2.592,2.471,36.145,74.503,FALSE,A
960,21,29,1.938,12.057,0,5.679,3.974,0,0,0,TRUE,A
960,21,29,7.041,6.866,1,2.86,2.296,0,36.695,74.497,FALSE,B
960,21,29,1.911,12.136,0,5.806,4.801,0,0,0,TRUE,B
960,21,28,6.721,6.437,1,3.131,2.592,2.471,32.264,75.322,FALSE,A
960,21,28,1.938,12.057,0,5.679,3.974,0,0,0,TRUE,A
960,21,28,7.035,6.867,1,2.844,2.341,0,33.781,75.147,FALSE,B
960,21,28,1.911,12.137,0,5.83,4.759,0,0,0,TRUE,B
960,20,27,6.996,6.72,1,3.313,2.661,2.592,38.013,79.225,FALSE,A
960,20,27,2.029,12.619,0,5.871,4.199,0,0,0,TRUE,A
960,20,27,6.961,7.059,1,2.284,3.545,0,38.04,77.95,FALSE,B
960,20,27,1.936,12.171,0,6.377,4.205,0,0,0,TRUE,B
960,20,26,6.996,6.72,1,3.313,2.661,2.592,38.915,81.625,FALSE,A
960,20,26,2.029,12.619,0,5.871,4.199,0,0,0,TRUE,A
960,20,26,7.027,7.047,1,2.211,3.755,0,40.582,86.775,FALSE,B
960,20,26,1.88,12.109,0,6.22,4.245,0,0,0,TRUE,B
960,19,26,7.403,7.149,1,3.606,2.75,2.798,40.21,84.637,FALSE,A
960,19,26,2.168,13.42,0,6.203,4.503,0,0,0,TRUE,A
960,19,26,7.182,7.241,1,2.352,3.675,0,42.489,89.16,FALSE,B
960,19,26,1.969,12.59,0,6.512,4.281,0,0,0,TRUE,B
960,19,25,7.403,7.149,1,3.606,2.75,2.798,41.009,86.728,FALSE,A
960,19,25,2.168,13.42,0,6.203,4.503,0,0,0,TRUE,A
960,19,25,7.139,7.171,1,1.966,4.334,0,42.2,87.077,FALSE,B
960,19,25,1.884,12.299,0,6.674,4.386,0,0,0,TRUE,B
1440,24,32,10.304,5.426,1,1.475,1.953,2.635,40.539,99.836,FALSE,A
1440,24,32,3.219,20.421,0,6.209,7.358,0,0,0,TRUE,A
1440,24,32,10.318,5.099,1,0,1.696,0,43.211,101.433,FALSE,B
1440,24,32,3.008,19.692,0,6.007,8.162,0,0,0,TRUE,B
1440,23,31,10.817,5.695,1,1.568,2.014,2.769,49.413,105.041,FALSE,A
1440,23,31,3.379,21.516,0,6.494,7.748,0,0,0,TRUE,A
1440,23,31,10.464,5.221,1,0,1.741,0,49.899,105.981,FALSE,B
1440,23,31,3.054,20.04,0,6.095,8.253,0,0,0,TRUE,B
1440,23,30,10.817,5.695,1,1.568,2.014,2.769,50.445,107.539,FALSE,A
1440,23,30,3.379,21.516,0,6.494,7.748,0,0,0,TRUE,A
1440,23,30,10.117,5.94,1,0,2.956,0,52.824,113.126,FALSE,B
1440,23,30,2.881,18.822,0,6.843,7.488,0,0,0,TRUE,B
1440,22,30,9.54,9.37,1,4.958,3.22,3.735,52.153,114.412,FALSE,A
1440,22,30,2.8,17.493,0,7.833,6.051,0,0,0,TRUE,A
1440,22,30,10.195,10.285,1,4.471,2.862,0,51.246,117.591,FALSE,B
1440,22,30,2.785,17.833,0,8.247,7.347,0,0,0,TRUE,B
1440,22,29,9.54,9.37,1,4.958,3.22,3.735,53.318,117.601,FALSE,A
1440,22,29,2.8,17.493,0,7.833,6.051,0,0,0,TRUE,A
1440,22,29,10.195,10.285,1,4.471,2.862,0,54.279,117.945,FALSE,B
1440,22,29,2.785,17.833,0,8.247,7.347,0,0,0,TRUE,B
1440,21,29,9.961,9.783,1,5.23,3.32,3.915,54.706,120.823,FALSE,A
1440,21,29,2.935,18.335,0,8.154,6.367,0,0,0,TRUE,A
1440,21,29,10.368,10.657,1,4.527,2.949,0,55.337,120.64,FALSE,B
1440,21,29,2.85,18.23,0,8.498,7.433,0,0,0,TRUE,B
1440,21,28,9.961,9.783,1,5.23,3.32,3.915,48.053,120.823,FALSE,A
1440,21,28,2.935,18.335,0,8.154,6.367,0,0,0,TRUE,A
1440,21,28,10.357,10.668,1,4.497,3.023,0,50.273,120.712,FALSE,B
1440,21,28,2.844,18.216,0,8.538,7.372,0,0,0,TRUE,B
1440,20,27,10.384,10.182,1,5.502,3.42,4.109,57.32,127.525,FALSE,A
1440,20,27,3.083,19.193,0,8.48,6.647,0,0,0,TRUE,A
1440,20,27,10.416,11.046,1,3.759,4.667,0,57.176,124.608,FALSE,B
1440,20,27,2.879,18.379,0,9.27,6.668,0,0,0,TRUE,B
1440,20,26,10.384,10.182,1,5.502,3.42,4.109,58.709,131.386,FALSE,A
1440,20,26,3.083,19.193,0,8.48,6.647,0,0,0,TRUE,A
1440,20,26,10.416,11.047,1,3.667,4.925,0,61.39,138.826,FALSE,B
1440,20,26,2.734,18.115,0,9.049,7.054,0,0,0,TRUE,B
1440,19,26,10.96,10.736,1,5.853,3.539,4.359,60.454,135.268,FALSE,A
1440,19,26,3.266,20.304,0,8.902,7.081,0,0,0,TRUE,A
1440,19,26,10.61,11.336,1,3.786,4.803,0,64.051,142.815,FALSE,B
1440,19,26,2.888,18.714,0,9.571,6.838,0,0,0,TRUE,B
1440,19,25,10.96,10.736,1,5.853,3.539,4.359,61.779,138.937,FALSE,A
1440,19,25,3.266,20.304,0,8.902,7.081,0,0,0,TRUE,A
1440,19,25,10.616,11.302,1,3.165,5.983,0,63.554,138.752,FALSE,B
1440,19,25,2.713,18.188,0,9.759,6.884,0,0,0,TRUE,B
1920,24,32,13.713,7.183,1,2.084,2.296,3.612,54.013,138.62,FALSE,A
1920,24,32,4.345,27.628,0,8.09,10.049,0,0,0,TRUE,A
1920,24,32,13.75,6.716,1,0,1.985,0,57.79,140.968,FALSE,B
1920,24,32,4.025,26.816,0,7.639,11.103,0,0,0,TRUE,B
1920,23,31,14.37,7.565,1,2.2,2.362,3.797,66.17,145.67,FALSE,A
1920,23,31,4.577,29.061,0,8.454,10.614,0,0,0,TRUE,A
1920,23,31,14.016,6.846,1,0,1.964,0,66.769,146.597,FALSE,B
1920,23,31,4.089,27.203,0,7.804,11.351,0,0,0,TRUE,B
1920,23,30,14.37,7.565,1,2.2,2.362,3.797,67.48,149.002,FALSE,A
1920,23,30,4.577,29.061,0,8.454,10.614,0,0,0,TRUE,A
1920,23,30,13.555,7.834,1,0,3.512,0,70.6,156.173,FALSE,B
1920,23,30,3.856,25.548,0,8.849,10.331,0,0,0,TRUE,B
1920,22,30,12.629,12.509,1,6.973,3.881,5.137,69.72,158.26,FALSE,A
1920,22,30,3.804,23.598,0,10.128,8.341,0,0,0,TRUE,A
1920,22,30,13.593,14.055,1,6.181,3.505,0,68.274,162.242,FALSE,B
1920,22,30,3.726,23.99,0,10.869,10.074,0,0,0,TRUE,B
1920,22,29,12.629,12.509,1,6.973,3.881,5.137,71.172,162.31,FALSE,A
1920,22,29,3.804,23.598,0,10.128,8.341,0,0,0,TRUE,A
1920,22,29,13.593,14.055,1,6.181,3.505,0,72.531,162.59,FALSE,B
1920,22,29,3.726,23.99,0,10.869,10.074,0,0,0,TRUE,B
1920,21,29,13.181,13.063,1,7.306,4.01,5.409,73.084,166.693,FALSE,A
1920,21,29,4.001,24.701,0,10.564,8.765,0,0,0,TRUE,A
1920,21,29,13.794,14.321,1,6.237,3.586,0,73.916,165.94,FALSE,B
1920,21,29,3.83,24.408,0,11.168,10.259,0,0,0,TRUE,B
1920,21,28,13.181,13.063,1,7.306,4.01,5.409,64.07,167.11,FALSE,A
1920,21,28,4.001,24.701,0,10.564,8.765,0,0,0,TRUE,A
1920,21,28,13.777,14.319,1,6.187,3.694,0,67.069,166.36,FALSE,B
1920,21,28,3.835,24.414,0,11.207,10.171,0,0,0,TRUE,B
1920,20,27,13.725,13.68,1,7.685,4.118,5.712,76.633,175.807,FALSE,A
1920,20,27,4.168,25.755,0,10.989,9.168,0,0,0,TRUE,A
1920,20,27,13.828,14.88,1,5.197,5.866,0,76.426,171.274,FALSE,B
1920,20,27,3.772,24.453,0,12.233,9.166,0,0,0,TRUE,B
1920,20,26,13.725,13.68,1,7.685,4.118,5.712,78.448,180.946,FALSE,A
1920,20,26,4.168,25.755,0,10.989,9.168,0,0,0,TRUE,A
1920,20,26,13.855,14.793,1,5.04,6.049,0,82.138,191.092,FALSE,B
1920,20,26,3.636,24.269,0,12.013,9.696,0,0,0,TRUE,B
1920,19,26,14.584,14.582,1,8.211,4.287,6.106,80.795,185.902,FALSE,A
1920,19,26,4.425,27.385,0,11.624,9.796,0,0,0,TRUE,A
1920,19,26,14.122,15.269,1,5.312,6.048,0,85.524,196.25,FALSE,B
1920,19,26,3.857,24.948,0,12.635,9.275,0,0,0,TRUE,B
1920,19,25,14.584,14.582,1,8.211,4.287,6.106,82.691,191.284,FALSE,A
1920,19,25,4.425,27.385,0,11.624,9.796,0,0,0,TRUE,A
1920,19,25,14.114,15.105,1,4.521,7.501,0,84.934,190.651,FALSE,B
1920,19,25,3.629,24.28,0,12.9,9.441,0,0,0,TRUE,B
2400,24,32,17.088,9.039,1,2.684,2.61,4.586,67.536,177.365,FALSE,A
2400,24,32,5.511,34.753,0,9.931,12.798,0,0,0,TRUE,A
2400,24,32,17.27,8.382,1,0,2.218,0,72.535,180.247,FALSE,B
2400,24,32,4.945,33.678,0,9.5,14.162,0,0,0,TRUE,B
2400,23,31,17.94,9.477,1,2.852,2.689,4.834,82.696,185.687,FALSE,A
2400,23,31,5.793,36.533,0,10.408,13.474,0,0,0,TRUE,A
2400,23,31,17.51,8.547,1,0,2.298,0,83.653,187.481,FALSE,B
2400,23,31,5.1,34.245,0,9.714,14.366,0,0,0,TRUE,B
2400,23,30,17.94,9.477,1,2.852,2.689,4.834,84.573,190.72,FALSE,A
2400,23,30,5.793,36.533,0,10.408,13.474,0,0,0,TRUE,A
2400,23,30,17.049,9.617,1,0,4.008,0,88.313,198.998,FALSE,B
2400,23,30,4.809,32.409,0,10.856,13.313,0,0,0,TRUE,B
2400,22,30,15.709,15.724,1,8.951,4.514,6.67,87.247,202.018,FALSE,A
2400,22,30,4.766,29.509,0,12.508,10.649,0,0,0,TRUE,A
2400,22,30,16.866,17.711,1,7.84,4.16,0,85.415,207.303,FALSE,B
2400,22,30,4.611,29.735,0,13.652,12.697,0,0,0,TRUE,B
2400,22,29,15.709,15.724,1,8.951,4.514,6.67,89.269,207.778,FALSE,A
2400,22,29,4.766,29.509,0,12.508,10.649,0,0,0,TRUE,A
2400,22,29,16.866,17.711,1,7.84,4.16,0,90.792,207.579,FALSE,B
2400,22,29,4.611,29.735,0,13.652,12.697,0,0,0,TRUE,B
2400,21,29,16.419,16.474,1,9.395,4.67,6.96,91.371,212.386,FALSE,A
2400,21,29,4.999,30.914,0,13.008,11.161,0,0,0,TRUE,A
2400,21,29,17.19,18.09,1,8.004,4.193,0,92.511,211.641,FALSE,B
2400,21,29,4.661,30.278,0,13.958,13.017,0,0,0,TRUE,B
2400,21,28,16.419,16.474,1,9.395,4.67,6.96,79.69,212.494,FALSE,A
2400,21,28,4.999,30.914,0,13.008,11.161,0,0,0,TRUE,A
2400,21,28,17.164,18.113,1,7.924,4.346,0,83.605,211.545,FALSE,B
2400,21,28,4.67,30.256,0,14.037,12.886,0,0,0,TRUE,B
2400,20,27,17.135,17.163,1,9.855,4.818,7.302,95.945,224.155,FALSE,A
2400,20,27,5.215,32.293,0,13.555,11.664,0,0,0,TRUE,A
2400,20,27,17.262,18.724,1,6.678,6.977,0,95.667,217.826,FALSE,B
2400,20,27,4.675,30.498,0,15.268,11.788,0,0,0,TRUE,B
2400,20,26,17.135,17.163,1,9.855,4.818,7.302,98.191,230.587,FALSE,A
2400,20,26,5.215,32.293,0,13.555,11.664,0,0,0,TRUE,A
2400,20,26,17.323,18.633,1,6.588,7.243,0,102.793,243.238,FALSE,B
2400,20,26,4.51,30.369,0,14.859,12.273,0,0,0,TRUE,B
2400,19,26,18.123,18.156,1,10.484,5.026,7.756,101.064,236.722,FALSE,A
2400,19,26,5.527,34.239,0,14.303,12.386,0,0,0,TRUE,A
2400,19,26,17.638,19.024,1,6.778,7.2,0,107.091,249.611,FALSE,B
2400,19,26,4.745,31.216,0,15.69,11.876,0,0,0,TRUE,B
2400,19,25,18.123,18.156,1,10.484,5.026,7.756,103.382,243.37,FALSE,A
2400,19,25,5.527,34.239,0,14.303,12.386,0,0,0,TRUE,A
2400,19,25,17.592,18.824,1,5.81,9.14,0,106.265,242.377,FALSE,B
2400,19,25,4.501,30.474,0,15.984,11.886,0,0,0,TRUE,B
2880,24,32,20.479,10.87,1,3.273,2.94,5.575,81.069,216.233,FALSE,A
2880,24,32,6.649,41.916,0,11.805,15.493,0,0,0,TRUE,A
2880,24,32,20.676,9.882,1,0,2.488,0,87.276,219.601,FALSE,B
2880,24,32,6.052,40.673,0,11.345,17.101,0,0,0,TRUE,B
2880,23,31,21.514,11.422,1,3.452,3.036,5.881,99.503,226.484,FALSE,A
2880,23,31,6.959,44.038,0,12.363,16.335,0,0,0,TRUE,A
2880,23,31,20.987,10.045,1,0,2.421,0,100.602,228.34,FALSE,B
2880,23,31,6.214,41.382,0,11.452,17.554,0,0,0,TRUE,B
2880,23,30,21.514,11.422,1,3.452,3.036,5.881,101.41,231.607,FALSE,A
2880,23,30,6.959,44.038,0,12.363,16.335,0,0,0,TRUE,A
2880,23,30,20.475,11.264,1,0,4.301,0,106.044,241.649,FALSE,B
2880,23,30,5.902,39.273,0,12.658,16.529,0,0,0,TRUE,B
2880,22,30,18.697,18.754,1,10.844,5.156,7.996,104.798,246.28,FALSE,A
2880,22,30,5.686,35.366,0,14.697,12.804,0,0,0,TRUE,A
2880,22,30,20.307,21.282,1,9.461,4.772,0,102.579,251.881,FALSE,B
2880,22,30,5.513,35.854,0,16.391,15.426,0,0,0,TRUE,B
2880,22,29,18.697,18.754,1,10.844,5.156,7.996,107.053,252.739,FALSE,A
2880,22,29,5.686,35.366,0,14.697,12.804,0,0,0,TRUE,A
2880,22,29,20.307,21.282,1,9.461,4.772,0,109.078,252.271,FALSE,B
2880,22,29,5.513,35.854,0,16.391,15.426,0,0,0,TRUE,B
2880,21,29,19.683,19.823,1,11.507,5.37,8.442,109.741,258.361,FALSE,A
2880,21,29,5.963,37.29,0,15.416,13.506,0,0,0,TRUE,A
2880,21,29,20.675,21.646,1,9.747,4.755,0,111.07,257.1,FALSE,B
2880,21,29,5.675,36.539,0,16.6,15.86,0,0,0,TRUE,B
2880,21,28,19.683,19.823,1,11.507,5.37,8.442,95.723,258.901,FALSE,A
2880,21,28,5.963,37.29,0,15.416,13.506,0,0,0,TRUE,A
2880,21,28,20.649,21.632,1,9.696,4.901,0,100.083,257.262,FALSE,B
2880,21,28,5.698,36.547,0,16.624,15.75,0,0,0,TRUE,B
2880,20,27,20.567,20.722,1,12.025,5.542,8.821,115.23,272.395,FALSE,A
2880,20,27,6.222,38.914,0,16.042,14.145,0,0,0,TRUE,A
2880,20,27,20.706,22.33,1,8.091,8.391,0,114.752,264.186,FALSE,B
2880,20,27,5.621,36.73,0,18.426,13.985,0,0,0,TRUE,B
2880,20,26,20.567,20.722,1,12.025,5.542,8.821,117.914,280.141,FALSE,A
2880,20,26,6.222,38.914,0,16.042,14.145,0,0,0,TRUE,A
2880,20,26,20.844,22.397,1,7.856,8.514,0,123.425,295.382,FALSE,B
2880,20,26,5.386,36.439,0,18.058,14.713,0,0,0,TRUE,B
2880,19,26,21.661,21.828,1,12.746,5.781,9.375,121.435,287.818,FALSE,A
2880,19,26,6.592,41.141,0,16.906,14.97,0,0,0,TRUE,A
2880,19,26,21.165,22.863,1,8.243,8.57,0,128.714,303.041,FALSE,B
2880,19,26,5.739,37.503,0,18.949,14.324,0,0,0,TRUE,B
2880,19,25,21.661,21.828,1,12.746,5.781,9.375,124.078,295.441,FALSE,A
2880,19,25,6.592,41.141,0,16.906,14.97,0,0,0,TRUE,A
2880,19,25,21.119,22.723,1,7.019,10.762,0,127.662,293.788,FALSE,B
2880,19,25,5.416,36.371,0,19.399,14.53,0,0,0,TRUE,B
3360,24,32,23.892,12.706,1,3.877,3.273,6.554,94.63,255.086,FALSE,A
3360,24,32,7.75,49.083,0,13.659,18.206,0,0,0,TRUE,A
3360,24,32,24.052,11.559,1,0,2.659,0,101.795,258.705,FALSE,B
3360,24,32,7.173,47.477,0,13.166,20.255,0,0,0,TRUE,B
3360,23,31,25.086,13.384,1,4.063,3.37,6.91,116.253,267.215,FALSE,A
3360,23,31,8.146,51.558,0,14.309,19.174,0,0,0,TRUE,A
3360,23,31,24.424,11.597,1,0,2.632,0,117.427,268.99,FALSE,B
3360,23,31,7.331,48.358,0,13.265,20.637,0,0,0,TRUE,B
3360,23,30,25.086,13.384,1,4.063,3.37,6.91,118.472,273.274,FALSE,A
3360,23,30,8.146,51.558,0,14.309,19.174,0,0,0,TRUE,A
3360,23,30,23.803,13.273,1,0,4.981,0,123.852,284.972,FALSE,B
3360,23,30,6.854,45.561,0,14.994,19.201,0,0,0,TRUE,B
3360,22,30,21.801,21.978,1,12.832,5.807,9.443,122.245,289.813,FALSE,A
3360,22,30,6.633,41.409,0,17.008,15.089,0,0,0,TRUE,A
3360,22,30,23.66,24.92,1,11.108,5.433,0,119.723,296.634,FALSE,B
3360,22,30,6.465,41.799,0,19.121,18.111,0,0,0,TRUE,B
3360,22,29,21.801,21.978,1,12.832,5.807,9.443,125.134,298.174,FALSE,A
3360,22,29,6.633,41.409,0,17.008,15.089,0,0,0,TRUE,A
3360,22,29,23.66,24.92,1,11.108,5.433,0,127.29,296.892,FALSE,B
3360,22,29,6.465,41.799,0,19.121,18.111,0,0,0,TRUE,B
3360,21,29,22.784,23.033,1,13.483,6.01,9.912,128.077,304.528,FALSE,A
3360,21,29,6.94,43.295,0,17.73,15.813,0,0,0,TRUE,A
3360,21,29,24.044,25.317,1,11.355,5.419,0,129.651,302.713,FALSE,B
3360,21,29,6.603,42.657,0,19.35,18.551,0,0,0,TRUE,B
3360,21,28,22.784,23.033,1,13.483,6.01,9.912,111.449,304.528,FALSE,A
3360,21,28,6.94,43.295,0,17.73,15.813,0,0,0,TRUE,A
3360,21,28,24.022,25.306,1,11.278,5.597,0,116.756,302.513,FALSE,B
3360,21,28,6.623,42.668,0,19.398,18.413,0,0,0,TRUE,B
3360,20,27,23.905,24.176,1,14.215,6.235,10.453,134.495,320.617,FALSE,A
3360,20,27,7.317,45.506,0,18.55,16.643,0,0,0,TRUE,A
3360,20,27,24.111,26.219,1,9.433,9.651,0,133.988,310.912,FALSE,B
3360,20,27,6.576,42.898,0,21.487,16.404,0,0,0,TRUE,B
3360,20,26,23.905,24.176,1,14.215,6.235,10.453,137.683,329.875,FALSE,A
3360,20,26,7.317,45.506,0,18.55,16.643,0,0,0,TRUE,A
3360,20,26,24.28,26.273,1,9.249,9.622,0,144.152,347.295,FALSE,B
3360,20,26,6.326,42.542,0,20.856,17.484,0,0,0,TRUE,B
3360,19,26,25.182,25.457,1,15.047,6.513,11.026,141.659,338.479,FALSE,A
3360,19,26,7.701,47.939,0,19.56,17.575,0,0,0,TRUE,A
3360,19,26,24.589,26.71,1,9.729,9.625,0,150.359,356.8,FALSE,B
3360,19,26,6.75,43.828,0,21.783,16.985,0,0,0,TRUE,B
3360,19,25,25.182,25.457,1,15.047,6.513,11.026,144.874,347.818,FALSE,A
3360,19,25,7.701,47.939,0,19.56,17.575,0,0,0,TRUE,A
3360,19,25,24.58,26.34,1,8.381,12.38,0,149.026,345.204,FALSE,B
3360,19,25,6.317,42.628,0,22.283,17.125,0,0,0,TRUE,B
3840,24,32,27.284,14.511,1,4.449,3.588,7.549,108.193,293.867,FALSE,A
3840,24,32,8.89,56.258,0,15.502,20.969,0,0,0,TRUE,A
3840,24,32,27.459,13.254,1,0,2.949,0,116.292,298.085,FALSE,B
3840,24,32,8.2,54.471,0,14.925,23.199,0,0,0,TRUE,B
3840,23,31,28.505,15.178,1,4.654,3.692,7.875,132.741,307.526,FALSE,A
3840,23,31,9.269,58.742,0,16.182,21.903,0,0,0,TRUE,A
3840,23,31,27.867,13.353,1,0,2.912,0,134.263,309.764,FALSE,B
3840,23,31,8.429,55.453,0,15.035,23.657,0,0,0,TRUE,B
3840,23,30,28.505,15.178,1,4.654,3.692,7.875,135.398,314.899,FALSE,A
3840,23,30,9.269,58.742,0,16.182,21.903,0,0,0,TRUE,A
3840,23,30,27.28,15.129,1,0,5.405,0,141.608,327.957,FALSE,B
3840,23,30,7.803,52.386,0,16.89,22.197,0,0,0,TRUE,B
3840,22,30,24.88,25.135,1,14.872,6.454,10.908,139.924,334.063,FALSE,A
3840,22,30,7.613,47.429,0,19.338,17.371,0,0,0,TRUE,A
3840,22,30,26.973,28.606,1,12.787,6.036,0,136.792,341.655,FALSE,B
3840,22,30,7.381,47.789,0,21.685,20.787,0,0,0,TRUE,B
3840,22,29,24.88,25.135,1,14.872,6.454,10.908,143.002,342.991,FALSE,A
3840,22,29,7.613,47.429,0,19.338,17.371,0,0,0,TRUE,A
3840,22,29,26.973,28.606,1,12.787,6.036,0,145.575,341.97,FALSE,B
3840,22,29,7.381,47.789,0,21.685,20.787,0,0,0,TRUE,B
3840,21,29,26.018,26.387,1,15.61,6.687,11.422,146.479,350.521,FALSE,A
